additionalRequirments,benefits,company,education,experience,jobContext,jobResposiblities,jobType,joblocation,salary,source,title,vacancies,workplace
,,Bangladesh Honda Pvt. Ltd.,"3 to 5 year(s)|The applicants should have experience in the following area(s):|Handling Budget and Reporting|The applicants should have experience in the following business area(s):|Automobile, Manufacturing (Light Engineering & Heavy Industry)",Age 25 to 32 years |Both males and females are allowed to apply|Minimum 2 to 3 years practical experiences to handle budget in the manufacturing company ;  working experience in manufacturing company will get preference. |Strong command in English (writing & Speaking) and MS Excel.|Sound knowledge and experience in working with ERP system,"Supervise all activities of reporting and budgeting process.|Prepare and analyze daily, weekly, monthly, and yearly reports.|Prepare annual budget, coordinate quarterly revision of budget and check monthly variance analysis.|Coordinate month-end activities and report on time.|Import costing and monthly inventory consumption costing.|Prepare external financial reporting as per requirements of the local laws and regulations.|Motivate the team & create a good working culture.|Any other activities assigned by management.",,None,,"T/A, Mobile bill, Performance bonus, Profit share, Provident fund, Insurance, Gratuity",,Assistant Manager - Reporting & Budget,1,Masters in Finance/Accounting from reputed |Professional Certification in CA CC / CMA / ACCA / CIMA Partly Qualified
"Age 35 to 40 years |Both males and females are allowed to apply|3-4	years of working experiences in Accounts and Administration section in NGO/INGO. Relevant experiences in maintaining cash book, ledgers and different registers related to accounts management, budget preparation; procurement; inventory management; logistic support; VAT/Tax; financial reports and documentation. |Computer (MS Office) skill is essential.|Should have good understanding on financial management basic principles and rules. Should have experience in preparing monthly, quarterly, annual financial reports and statements.|3-4 years of experience managing NGO project finance.","Mobile bill, Tour allowance, Weekly 2 holidays|Festival Bonus: 2|As per organizational policy and project guideline.",SKS Foundation,"Master of Commerce (MCom) in Accounting|M.Com/ B.Com|Skills Required: Accounts, Computer skill",3 to 4 year(s),,"This position will be responsible for financial and administrative management of SKS MAMOTA Project at Upazila level and will reportable to Upazila Coordinator. |S/he will supervise the support staff (Support Staff, Night Guard) of Upazila Project Office. |This position will be responsible for cost incurred for the target UHFWCs and other health facilities in the Upazila.",Full-time,Gaibandha,None,Bdjobs.com Online Job Posting.,Assistant Finance & Admin - MAMOTA Project,01,Work at office
Negotiable|A highly competitive & attractive compensation package along with bright career path and excellent work environment is waiting for the really deserving candidate.,,Noman Group,"Only males are allowed to apply|Minimum 2 years in a 100% export oriented textile industry.|Should have good communication skill.|Sound knowledge on Computer Literacy (MS office, Accounting software like ""ERP"").|Should be sincere, polite, dynamic, hard working & willing to work under pressure.",,"Check daily expenditures, vouchers, Requisition and daily transaction. |Maintain all account books/registers/ledgers etc|Entry all kinds of accounting adjustment transaction in ERP/Tally Software. |Prepare and maintain all the vouchers, requisition slips & bills.|Check all transactions like receive voucher, payment voucher, Journal voucher maintaining by accounts software.|Manage the preparation of the company's budget |Report to management on variances from the established budget, and the reasons for those variances |Conduct review and evaluation for cost-reduction opportunities |Forecast cash flow positions, related borrowing needs, and available funds for investment  |Reconcile the Bank Accounts daily basis. |Handle accounting software-ERP/Tally independently. |Perform any other tasks assigned by the management",,None,Bdjobs.com Online Job Posting.,None,,Officer - Accounts & Finance,Not specific,At least 2 year(s)|The applicants should have experience in the following area(s):|Finance/ Accounts|The applicants should have experience in the following business area(s):|Textile
As per Company Policy.,,Apan Fabrics Ltd.,,,"Preparing of Monthly Financial Statements & Management Report.|Preparing Cost Accounting basis financial reporting.|Preparing Budgeting and monitoring budgeting, budgetary control and forecasting.|Compare the monthly results with monthly budget and highlight variances.|Assisting management decision making (cost-volume-profit) analysis, including breakeven and limiting factor analysis.|Preparing performance measures and identifying reasons for good and bad performance, including variance analysis.|To apply appropriate investment appraisal techniques and recommend relevant methods of funding the same.",,None,Bdjobs.com Online Job Posting.,None,,Project Manager (Female),2,"Only females are allowed to apply|Proper inventory management to be maintained.|Ready to perform any other jobs assigned by Management.|Candidate should have basic computer skill MS Word, Excel, E-mail etc."
Festival Bonus: 2,,ALLIANCE POWER,,,"Prepare daily, weekly, monthly & yearly reports|Keeping all Ledgers up to date.|Preparing Balance Sheet and income statement as and when required.|Keep record of bill/invoices/challan for future reference.|Prepare deposit slip and transfer documents for cheque & cash deposit to the bank.|Execute and keep record of payments related to recurring transactions such as rent, utilities, conveyance bills, etc.|Ensure proper documentation and archiving, including digitization of documents of all financial matters.|Ensure all monthly payment timely following the organizational policy.|Maintain petty cash and make its adjustment following the organizational policy.|To know the project Guidelines, compliance issues, Govt. VAT & Tax rules and implement it properly.",,None,Bdjobs.com Online Job Posting.,None,,Accounts/ Commercial Executive,2,Bachelor of Business Studies (BBS) in Accounting|Bachelor's degree from a reputed University or College preferably Finance/ Accounting or relevant subject|HSC(Business Studies)
,,Concord Group,"2 to 5 year(s)|The applicants should have experience in the following area(s):|Accounts, Finance|The applicants should have experience in the following business area(s):|Amusement Park, Group of Companies, Food (Packaged)/Beverage","Age 25 to 35 years |Only males are allowed to apply|Excellent communication skill in English (written & speaking).|Excellent skill in MS Word, MS power point, MS Excel & Email|Accounting Software Specially in ERP System|Internet Surfing","Purchase Requisition wise Materials Received|Received Materials Quality Checking as per related department|Materials Rate Verify with Previous record|Prepare Material Received Report (MRR) In Inventory Software|Deliver the Goods as per Departmental Materials Requisition Slip/Store Requisition(SR)|Separate the defects Materials when Material Received|Materials Quality/Quantity Checking as per approved requisition|Actual Weight Measurement when materials received|Accurate Stock Position found through Software & Ledger Book|LIFO & FIFO Method applied for Stock Management|Every Month Stock Reconcile with Software & Ledger Book and Submitted to Accounts Department|Slow Moving Materials Stock Report|Store Stock Position Count Daily (Inventory Software, Ledger & Physical)|Prepare Monthly Report|Maintain Store Compliance|Bin-Card to be maintained in an organized manner|Other Assignment given by Department Head & Management",,None,,"T/A, Mobile bill, Insurance, Gratuity",,Junior Executive/ Executive - Store (Food & Beverage) at Fantasy Kingdom Complex,2,Masters/ MBA in Accounts/ Finance from reputed university with good academic record.
,,Probashi Palli Group,Bachelor degree in any discipline,"Age 25 to 30 years |Only females are allowed to apply|The applicants should have experience in the following area(s):|Customer Support through Phone, Guest Relations/ Services, Online (web/ e-mail) Support.|Fluency in written and spoken English and Bangla required.",,"Excellent knowledge of the MS office application, MS-Excel & Bangla typing must.|Composition skill in both English & Bangla.|Able to draft Letter for office and send e-mails to concerns.|Knowledge in file management and correspondence.",Full-time,,Festival Bonus: 2,,Assistant to Director (Female),Not specific,Work at office
,,Industrial and Infrastructure Development Finance Company Limited (IIDFC),At least 5 year(s),Experience: Minimum 5 (Five) years of working experience with any reputed NBFI/Bank.|Required Competencies:|CA(CC) with partly qualified candidates|Working experience in ICC department ( Preferably in Bank/NBFI),,"Preparing detail internal audit plan using a risk-based methodology.|Updating manuals, policies and other guidelines time to time in relation with the circulars issued by Bangladesh Bank.|Monitoring of non-complied audit observations time to time and report to Head of the department.|Reviewing of internal audit reports before submitting to Head of ICC.|Analyzing financial statements to ensure accuracy of financial recording and compliance with established accounting standards, procedures and internal controls.|Checking the accuracy of all sorts of payments.|Preparing files to the Audit Committee.|Conducting financial, operational or compliance audit using a risk-based methodology.|Reviewing of Quarterly Operational Report and other different comprehensive reports.|Performing follow-up reviews to assess adequacy of management actions in response to audit observations.|Documenting audit findings and audit recommendations through written memos or audit reports that help to mitigate risk. |Ascertain that the system of internal control promotes the efficient and effective use of resources.|Confirming compliance with policies, laws, rules and regulations directed by the regulatory bodies as well as with company's internal policies and procedures that support company mission, values and standards of ethics and integrity.|Any other responsibilities as and when required by the management",Full-time,,None,,Deputy Manager/Assistant Manager - Internal Control & Compliance,Not specific,"Candidate should have BBA/MBA degree in Business discipline like Accounting, Banking, Finance, Business Management etc. from any recognized university."
,,Probashi Palli Group,Bachelor degree in any discipline,"Age 25 to 30 years |Only females are allowed to apply|The applicants should have experience in the following area(s):|Customer Support through Phone, Guest Relations/ Services, Online (web/ e-mail) Support.|Fluency in written and spoken English and Bangla required.",,"Excellent knowledge of the MS office application, MS-Excel & Bangla typing must.|Composition skill in both English & Bangla.|Able to draft Letter for office and send e-mails to concerns.|Knowledge in file management and correspondence.",Full-time,,Festival Bonus: 2,,Assistant to AGM (Female),Not specific,Work at office
At most 2 year(s)|The applicants should have experience in the following area(s):|Merchandising|The applicants should have experience in the following business area(s):|Logistic/Courier/Air Express Companies|Freshers are also encouraged to apply.,,Speedaf Logistics Bangladesh Limited,Work at office,Bachelor degree in any discipline in Supply Chain Management|Bachelor Degree with Supply Chain Management or Logistics Degree will get preference.|Skills Required: Computer skill,,,None,,None,Bdjobs.com Online Job Posting.,PUD Manager/Branch In-Charge,None,
"At least 8 year(s)|The applicants should have experience in the following area(s):|Ecommerce logistics, Group of Company and Multinational Company",,Speedaf Logistics Bangladesh Limited,Work at office,"Bachelor of Science (BSc) in Computer Science & Engineering|Strong Programming skills in JavaScript, Java, python, bash and software engineering principles.|Strong understanding of implementing configurations,|Strong understanding of WSDLs, XML, and related Web Services concepts and tools|Extensive experience of Internet and Web Technologies including good understanding of network protocols such as DNS, SMTP, HTTP, MASSL, SNMP and associated tools and technologies.|Strong understanding of network protocols, network security, WAF|Understanding use of proxy servers and load balancers and implementation use cases.|API authentication mechanisms such as MTLS and JWT, SAML, WS trust formats.|Familiarity with installation/configuration automation and scripting (Chef)|Experience deploying and scaling distributed systems on virtual machines and Cloud Foundry.|Knowledge of building CICD pipelines with hands on work done on building pipelines using Jenkins.|Awareness of security implementations, certificate management lifecycle, mutual TLS, SSL handshake, SSH keys, symmetric and asymmetric encryptions.|Bangladesh University of Engineering and Technology,BRAC University,Ahsanullah University of Science and Technology,Chittagong University of Engineering and Technology students will get preference",,,None,,None,Bdjobs.com Online Job Posting.,Lead Engineer/ Engineer - Technology & Software,None,
Age 20 to 40 years |Only males are allowed to apply,Festival Bonus: 1,AIM Bangladesh,HSC,3 to 7 year(s)|The applicants should have experience in the following business area(s):|Manufacturing (FMCG),,1)Should be keen to learn about company goals and products to be sold.|2)Should have good communication skills and well mannered.|3)Should have good knowledge in which area and sector he will be working as salesman.|4)Should be able to spot missing shops and report to higher authority.|5)Should be able to report sales target to higher authority every week.|6)Understand customer needs.|7)Should have knowledge of stock management.|8)Focuses sales efforts by studying existing and potential volume of dealers.|9)Ensure allsales routes under his supervision and have up to date route plans.,Full-time,Dhaka (Mirpur),None,Bdjobs.com Online Job Posting.,Salesman (FMCG),06,Work at office
,,ADN Telecom Limited,At most 1 year(s)|The applicants should have experience in the following area(s):|supply chain management|Freshers are also encouraged to apply.,,"Maintains purchasing records and related documentation (Purchased products, delivery Information & Invoices)|Responsible to maintain vendor payment database as per standard.|Regular monitoring and update the monthly inventory sheet|Responsible to follow-up with suppliers on invoice disputes, short or excess supply, damaged or returned materials.|Any other duties, as assigned by the Management or concerned Authority.",,None,,None,,Jr. Executive (Supply Chain Management),Not specific,Bachelor degree in any discipline
,,Concord Group,"2 to 5 year(s)|The applicants should have experience in the following area(s):|Experiance in Procurement Logistics, Purchase/ Procurement, supply chain management, Supply Chain Planning|The applicants should have experience in the following business area(s):|Developer, Group of Companies, Real Estate",Age 25 to 35 years |Only males are allowed to apply|sound in ERP Software and SAP |Computer proficiency over MS Word and MS Excel.|Ability to work under pressure and ability to work for long working hour,"Ensure uninterrupted & timely supply of materials to meet concern project/units/department requirements.|Ensure best quality of materials with economical rates within the budget.|Ensure quality/standards of all raw materials as per specifications.|Identify suitable suppliers and negotiate for the best value without compromising the quality & specifications.|Develop alternative sources of supply & smart supplier's database.|Regularly monitor supplier's performance & build up best business relationship with preferred suppliers.|Develop, maintain & upgrade database of sourcing and updating existing vendors/supplier information. |Update information of market, price of material, new development of product and alternate sources.|Follow up Procurement to Payment Process (P2P) in concept of Procurement Policy.|Maintain & update all SCM reports to concerns.|Procurement Experience of Real Estate & Construction items will be highly appreciated.|Ensure continual improvement of self and development of work process/ system.",,None,,"T/A, Mobile bill, Medical allowance, Insurance, Gratuity",,Executive/ Senior Executive - Supply Chain Management (Real Estate & Construction Items),2,"Masters/MBA/BBA/Bachelor from any Public/Private university with good academic record.|Skills Required: MS Office, Negotiation Skills"
,,Lira Group of Industries,2 to 5 year(s)|The applicants should have experience in the following area(s):|Distribution|The applicants should have experience in the following business area(s):|Plastic/ Polymer Industry,Age 25 to 40 years |Only males are allowed to apply|Factory related job experience will get more preference,"Check everyday stock status as per register, software and must be cross checked in practical|Make requirement schedule/ forecast for production department.|Check every day delivery order and communicate to arrange transport.|Compare stock availability against D.O. to ensure buyer's demand.|Communicate with distribution and depot for daily requirement.|According to daily demand schedule ensure all delivery on time.|Visit production floor & discuss with P.M to ensure requirement schedule.|Check and ensure all delivery challan and bill against individual delivery.|Communicate with Sales team for any kind of demand issue.|Monitor subordinate & finishing store staff to ensure their job.|Provide D.M & driver phone number to respective SO to monitor delivery transport.|Check and sign of D.M. and loading/unloading labor bill.|Ensure filing and dispatch of all bill, challan & documents for last day's delivery and update accordingly.|Prepare daily delivery report and share with respective management.|Any other jobs as assigned and entrusted by the management.",,None,,"Mobile bill, Insurance",,Distribution Officer (In-charge),Not specific,Bachelor degree in any discipline
,,A leading Multinational Company,"Age 28 to 38 years |Only males are allowed to apply|More than 2 years in Power Plant Project/Global company/Local company in Logistics & Procurement|Sound knowledge in Logistics& procurement|Excellent English reading, writing, listening and speaking ability|We plan to hire diligent, sincere and organizational friendly employee",,"•Responsible for planning, managing and organizing of both overseas and local procurement of Capital Machineries, Equipment's, Spares, Chemicals, Filters etc. (mostly foreign) and also locally.|•Delivering results on time, in Competitive value, within budget and to the highest specification in adherence to company Procurement Policy and Procedures (PP&P).|•Lead, Handle and Manage Contractual LTSA (Long Term Service Agreement) with Gas/Steam Turbine Maintenance Vendor and Manpower Supplier. Vendor Management (evaluation/addition/deduction) is an integral part of job.|•Export cum Import Activity of refurbish able equipment's/tools for repair or calibration.|•As Secretary of Tender Committee, handle and manage Tender RFQs, Bid Review and Evaluation for authority approval submission as per LOA. Followed by PO close out with selected vendor.|•Input, process and completion of all procedures of Material Management Software as per PP&P. Lead trainee employee pool for day to day procurement activities.|•Handling LC, C&F, Customs, IPP Cell, CCI&E, Bank and other related agencies of commercial issues.|•Coordination & fulfilling the contractual clauses such as;|Renewals all consents & Govt. permits as per MPL Implementation Agreement ('IA').|Participate in and contribute to the ISO 14001 and OHSAS 18001 programs.|• Receive & analyze the RFQ from user departments from SEP-ERP (Knox Portal) System|• Collect Price quotations from different suppliers (Local/International) & prepare comparative statement (CS) to check & analyze estimated cost/budget.|• Collect Local & International market information & analyze the same with regard to price, lead time, product quality competitors etc.|• Negotiate with local & international suppliers & vendors ensuring procurement of quality products as per specifications.|• Coordinating with freight forwarders to accelerate pickup of materials, vessel scheduling etc|• Coordinating with C&F agents, transport partners & insurance companies to ensure on time delivery of goods/materials.|• Coordinating in checking all draft shipping documents (PI, CI, COO, PL, BL, BE) Technical spec, customs clearance cost, & issuance a letter to Owner, BPDB sometimes directly to CCE&I to get TAX exemption for imported items.",,None,,None,,Project Head (Logistics & Procurement),2,"2 to 6 year(s)|The applicants should have experience in the following area(s):|Logistics, power plant, Procurement"
,,ACME Garments Unit,"At least 5 year(s)|The applicants should have experience in the following area(s):|Commercial, supply chain management|The applicants should have experience in the following business area(s):|Garments","Age at least 32 years |Only males are allowed to apply|Computer literacy with office Application, e-mail and internet browsing.|Good command in English language is needed.|Good communication skill is required.",,"Prepare Commercial Invoice, packing list, detail packing list for export documents.|Ensure online shipment booking & documentation for export.|Maintain proper correspondents with merchandiser, factory, buyer, shipping line, freight forwarder, C & F and other concerned offices.|Prepare Export bill as per L/C terms, submit to Banks and negotiate/Purchase.|Should have knowledge Exp, EPB, CO, GSP, B/L and other documents related with commercial responsibilities. |Any Commercial related task given by the management.",Full-time,,None,,Executive (Commercial),01,Bachelor degree in any discipline
,,,,,,,Bdjobs.com Online Job Posting.,,None,,Bangla Job,Not specific,
,,Epyllion Group,"2 to 5 year(s)|The applicants should have experience in the following area(s):|Commercial, Customs Bond|The applicants should have experience in the following business area(s):|Garments, Group of Companies","Age 28 to 34 years |Both males and females are allowed to apply|The applicant should have at least 1-year experience in the same position.|The applicant should have hands-on experience to make effective correspondences with the Customs, BOND, licensing, and related govt. authorities.|Good Communication (written/verbal) & presentation skills.|Good knowledge on MS Excel is must.|Positive work ethics and result oriented, self-motivated, self-driven, good interpersonal skill & team work","The applicant should have hands-on experience to make effective correspondences with the Customs, BOND, licensing, and related govt. authorities.|Should be adept in handling Bond licensing issues, Custom Auditing, UP, Yearly Audit, Entitlement, Additional Entitlement, H. S. Code Inclusion, New Machine inclusion, General Bond.|Perform all import related jobs under Bond License specially In-Bond, Ex-Bond.|Should be adept in handling new Bond License issue, issue & renewal General Bond, Signatory change, Bank inclusion & exclusion, Lien bank inclusion.|To manage bond customs personnel in any irregularities/difficulties|Correspond with customer for UD and collect from customer office.|Perform related work of Board of Investment, Chief controller of Import & Export (IRC, ERC).|Do all work related to BGMEA, BKMEA & BPGMEA.|Adequate knowledge about H.S. Code, L/C Clauses, PSI, Customs & bonded warehouse matter, Custom Audit, Bill of lading & Other shipping documents, Certificate of origin & Undertaking, Bond license, Vessel Schedule, Invoice, Packing list, UP, UD, GSP, EXP, BGMEA, NBR & Other delegates, etc.|Receive any kind of certificate NOC and to release indemnity bond.|Perform any other task assigned by Management.",,None,,"Mobile bill, Gratuity, Insurance",,Executive - Commercial (Custom Bond),01,M.COM/ MBA from any reputed university
,,"A well renowned, reputed company","Applicants previously having 5-6 years working experience in the relevant field.|Should be energetic, proactive, dynamic and hard working.|Experiences in Supply Planning, Demand Planning or Sales & Processes Planning|Must have understanding of end to end supply chain interactions and interdependencies|Background in process improvements, product launches & demand planning is required|Proper understanding of Supply chain activities.|Should have communication and analytical skills",,"Please do not apply if your experiences are not relevant for this position.|Define a strategic Supply Planning & Procurement action plan on yearly basis. The objectives in terms of savings and budget optimization, strategic sourcing (local & global) and main issues in terms of business integration|Analyzing material planning issues and effectively manages the materials budget.|Keep proper minimum inventory stock to support sales operations|Identification of purchasing needs and check the import requirement report.|Working closely with the Sales and Marketing Dept., Sourcing Dept. and Inventory Dept. to consolidate all requirements for the sourcing plan and bidding process|Manage the materials portfolio against the key measures within the sourcing strategy and business objectives.|Work on ERP system for inventory monitoring, controlling and analyzing. |Continuously monitor market trends and developments.|Analyzing data to monitor performance and plan improvements|Prepare various types of reports regarding inventory management.|Active participation in integrated planning and new development programs to ensure product availability.|Manage and coordinate the sales and operations planning including supply and demand forecasting, inventory manage for on time delivery.|Check the issued report and present stock position of individual product.|Plan and manage inventory levels of different products.",,None,,None,,Deputy Manager/Manager - Integrated Planner,01,5 to 6 year(s)
